CREATED_AT,BYN,PLN,EUR
2020-11-03,2.643037,3.863902,0.850702
2020-11-04,2.637544,3.86835,0.852315
2020-11-05,2.619542,3.83305,0.846375
2020-11-06,2.583501,3.79109,0.842169
2020-11-07,2.583501,3.79109,0.842151
2020-11-08,2.583501,3.787697,0.84086
2020-11-09,2.575621,3.78834,0.845804
2020-11-10,2.551757,3.80835,0.846225
2020-11-11,2.556153,3.805305,0.84886
2020-11-12,2.566936,3.80425,0.847192
2020-11-13,2.566859,3.78809,0.844923
2020-11-14,2.566859,3.78809,0.844923
2020-11-15,2.566859,3.785696,0.844199
2020-11-16,2.55382,3.76845,0.843235
2020-11-17,2.558378,3.783555,0.842935
2020-11-18,2.552024,3.77001,0.844075
2020-11-19,2.561911,3.765703,0.842735
2020-11-20,2.550147,3.770365,0.843409
2020-11-21,2.550147,3.770365,0.843409
2020-11-22,2.550147,3.764597,0.842745
2020-11-23,2.552669,3.774525,0.844506
2020-11-24,2.5567,3.75245,0.840404
2020-11-25,2.563999,3.74675,0.839032
2020-11-26,2.56911,3.75795,0.839313
2020-11-27,2.588672,3.74765,0.835911
2020-11-28,2.588672,3.74765,0.835858
2020-11-29,2.588672,3.750303,0.835349
2020-11-30,2.590297,3.752225,0.837675
2020-12-01,2.588408,3.68595,0.828303
2020-12-02,2.593573,3.69525,0.825475
2020-12-03,2.589471,3.679055,0.823365
2020-12-04,2.5692,3.687104,0.825048
2020-12-05,2.5692,3.687104,0.824875
2020-12-06,2.5692,3.68785,0.825015
2020-12-07,2.569035,3.693898,0.825575
